"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.617092590804652,0.173605022039058,3.55457799294434,0.225879080289243,2.73195990533718
"ASC_TRAIN",-1.36822539751466,0.326070540043457,-4.19610246706837,0.388940695283288,-3.51782524715781
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-4.78103714686216,0.280715906881742,-17.0315861326529,0.300547624006032,-15.9077522661307
"B_COST_S",3.1272859476003,0.215047070076559,14.5423322739852,0.236149125111551,13.2428436739838
"B_TIME",-5.64601229085774,0.298554664782004,-18.9111508104564,0.36033028541739,-15.6689918093276
"B_TIME_S",3.98997022293746,0.220174708146715,18.1218372288188,0.262112127923375,15.2223792716066
"S1",3.11761023043536,0.238686957269075,13.061502254272,0.267890941982777,11.6376097204354
"S2",2.89365285147502,0.184085863556199,15.719038907035,0.221207855971885,13.0811486724179
